name,vuln_id,severity,summary,label
sequelize,GHSA-f598-mfpv-gmfx,CRITICAL,Sequelize - Default support for “raw attributes” when using parentheses,1
sequelize,GHSA-fw4p-36j9-rrj3,MODERATE,Denial of Service in sequelize,1
sequelize,GHSA-j9xp-92vc-559j,CRITICAL,SQL Injection in sequelize,1
sequelize,GHSA-m9jw-237r-gvfv,CRITICAL,SQL Injection in sequelize,1
sequelize,GHSA-vqfx-gj96-3w95,CRITICAL,Unsafe fall-through in getWhereConditions,1
sequelize,GHSA-wfp9-vr4j-f49j,HIGH,NoSQL Injection in sequelize,1
sequelize,GHSA-wrh9-cjv3-2hpw,CRITICAL,Sequelize vulnerable to SQL Injection via replacements,1
sequelize,GHSA-x2jc-pwfj-h9p3,MODERATE,SQL Injection in sequelize,1
sequelize,GHSA-xqg8-cv3h-xppv,HIGH,SQL Injection in sequelize,1
knex,GHSA-4jv9-3563-23j3,HIGH,Knex.js has a limited SQL injection vulnerability,1
knex,GHSA-58v4-qwx5-7f59,CRITICAL,SQL Injection in knex,1
pg,GHSA-wc9v-mj63-m9g5,CRITICAL,Remote Code Execution in pg,1
mysql,GHSA-5f7m-mmpc-qhh4,MODERATE,mysql Node.JS Module Vulnerable to Remote Memory Exposure,1
mysql,GHSA-f982-mxwc-3mrx,MODERATE,MySQL for Node.js Unsafe Options,1
mysql,GHSA-fvq6-55gv-jx9f,MODERATE,SQL Injection in mysql,1
redis,GHSA-35q2-47q7-3pc3,HIGH,Node-Redis potential exponential regex in monitor mode,1
mongodb,GHSA-mh5c-679w-hh4r,HIGH,Denial of Service in mongodb,1
mongodb,GHSA-vxvm-qww3-2fh7,MODERATE,MongoDB Driver may publish events containing authentication-related data,1
socket.io,GHSA-25hc-qcg6-38wj,MODERATE,socket.io has an unhandled 'error' event,1
socket.io,GHSA-fxwf-4rqh-v8g3,MODERATE,CORS misconfiguration in socket.io,1
socket.io,GHSA-qv2v-m59f-v5fw,HIGH,Insecure randomness in socket.io,1
passport,GHSA-v923-w3x8-wh69,MODERATE,Passport vulnerable to session regeneration when a users logs in or out,1
bcrypt,GHSA-5wg4-74h6-q47v,MODERATE,Integer Overflow or Wraparound and Use of a Broken or Risky Cryptographic Algorithm in bcrypt,1
jsonwebtoken,GHSA-8cf7-32gw-wr33,HIGH,jsonwebtoken unrestricted key type could lead to legacy keys usage ,1
jsonwebtoken,GHSA-c7hr-j4mj-j2w6,CRITICAL,Verification Bypass in jsonwebtoken,1
jsonwebtoken,GHSA-hjrf-2m68-5959,MODERATE,jsonwebtoken's insecure implementation of key retrieval function could lead to Forgeable Public/Priv,1
jsonwebtoken,GHSA-qwph-4952-7xr6,MODERATE,jsonwebtoken vulnerable to signature validation bypass due to insecure default algorithm in jwt.veri,1
nodemailer,GHSA-48ww-j4fc-435p,CRITICAL,Command injection in nodemailer,1
nodemailer,GHSA-9h6g-pr28-7cqp,MODERATE,nodemailer ReDoS when trying to send a specially crafted email,1
nodemailer,GHSA-c7w3-x93f-qmm8,LOW,Nodemailer has SMTP command injection due to unsanitized `envelope.size` parameter,1
nodemailer,GHSA-hwqf-gcqm-7353,MODERATE,Header injection in nodemailer,1
nodemailer,GHSA-mm7p-fcc7-pg87,MODERATE,Nodemailer: Email to an unintended domain can occur due to Interpretation Conflict,1
nodemailer,GHSA-rcmh-qjqh-p98v,HIGH,Nodemailer’s addressparser is vulnerable to DoS caused by recursive calls,1
nodemailer,GHSA-vvjj-xcjg-gr5g,MODERATE,Nodemailer Vulnerable to SMTP Command Injection via CRLF in Transport name Option (EHLO/HELO) ,1
sharp,GHSA-54xq-cgqr-rpm3,HIGH,sharp vulnerability in libwebp dependency CVE-2023-4863,1
sharp,GHSA-gp95-ppv5-3jc5,MODERATE,sharp vulnerable to Command Injection in post-installation over build environment,1
multer,GHSA-44fp-w29j-9vj5,HIGH,Multer vulnerable to Denial of Service via memory leaks from unclosed streams,1
multer,GHSA-4pg4-qvpc-4q3h,HIGH,Multer vulnerable to Denial of Service from maliciously crafted requests,1
multer,GHSA-5528-5vmv-3xc2,HIGH,Multer Vulnerable to Denial of Service via Uncontrolled Recursion,1
multer,GHSA-fjgf-rc76-4x9p,HIGH,Multer vulnerable to Denial of Service via unhandled exception from malformed request,1
multer,GHSA-g5hg-p3ph-g8qg,HIGH,Multer vulnerable to Denial of Service via unhandled exception,1
multer,GHSA-v52c-386h-88mc,HIGH,Multer vulnerable to Denial of Service via resource exhaustion,1
multer,GHSA-xf7r-hgr6-v32p,HIGH,Multer vulnerable to Denial of Service via incomplete cleanup,1
xlsx,GHSA-3x9f-74h4-2fqr,MODERATE,Denial of Service in SheetJS Pro,1
xlsx,GHSA-4r6h-8v6p-xvw6,HIGH,Prototype Pollution in sheetJS,1
xlsx,GHSA-5pgg-2g8v-p4x9,HIGH,SheetJS Regular Expression Denial of Service (ReDoS),1
xlsx,GHSA-8vcr-vxm8-293m,MODERATE,Denial of Service in SheetsJS Pro,1
xlsx,GHSA-g973-978j-2c3p,MODERATE,Denial of Service in SheetJS Pro,1
tar,GHSA-29xp-372q-xqph,MODERATE,node-tar has a race condition leading to uninitialized memory exposure,1
tar,GHSA-34x7-hfp2-rc4v,HIGH,node-tar Vulnerable to Arbitrary File Creation/Overwrite via Hardlink Path Traversal,1
tar,GHSA-3jfq-g458-7qm9,HIGH,Arbitrary File Creation/Overwrite due to insufficient absolute path sanitization,1
tar,GHSA-5955-9wpr-37jh,HIGH,Arbitrary File Creation/Overwrite on Windows via insufficient relative path sanitization,1
tar,GHSA-83g3-92jg-28cx,HIGH,Arbitrary File Read/Write via Hardlink Target Escape Through Symlink Chain in node-tar Extraction,1
tar,GHSA-8qq5-rm4j-mr97,HIGH,node-tar is Vulnerable to Arbitrary File Overwrite and Symlink Poisoning via Insufficient Path Sanit,1
tar,GHSA-9ppj-qmqm-q256,HIGH,node-tar Symlink Path Traversal via Drive-Relative Linkpath,1
tar,GHSA-9r2w-394v-53qc,HIGH,Arbitrary File Creation/Overwrite via insufficient symlink protection due to directory cache poisoni,1
tar,GHSA-f5x3-32g6-xq36,MODERATE,Denial of service while parsing a tar file due to lack of folders count validation,1
tar,GHSA-gfjr-3jmm-4g9v,HIGH,Symlink Arbitrary File Overwrite in tar,1
tar,GHSA-j44m-qm6p-hp7m,HIGH,Arbitrary File Overwrite in tar,1
tar,GHSA-qffp-2rhf-9h96,HIGH,tar has Hardlink Path Traversal via Drive-Relative Linkpath,1
tar,GHSA-qq89-hq3f-393p,HIGH,Arbitrary File Creation/Overwrite via insufficient symlink protection due to directory cache poisoni,1
tar,GHSA-r628-mhmh-qjhw,HIGH,Arbitrary File Creation/Overwrite via insufficient symlink protection due to directory cache poisoni,1
tar,GHSA-r6q2-hw4h-h46w,HIGH,Race Condition in node-tar Path Reservations via Unicode Ligature Collisions on macOS APFS,1
unzipper,GHSA-884w-698f-927f,MODERATE,Arbitrary File Write via Archive Extraction in unzipper,1
